Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,Josh A. Smith,BOS,23.2,104,4.5634,24,4,0,14,12,8,5,1,2,23,0.24742268,0.298076923,0.536082474,0.339979463,10946
2019,Ryan O'Rourke,NYM,1.1,6,0,0,0,0,0,0,0,3,0,0,1,0,0.5,0,0.3451491,10976
2019,Vince Velasquez,PHI,10.1,48,4.3549,13,1,0,6,5,3,6,0,0,15,0.31707317,0.395833333,0.560975609,0.395907223,11189
2019,Grant Dayton,ATL,12,51,3,12,0,0,5,4,4,4,0,0,14,0.255319148,0.31372549,0.510638297,0.342670759,11203
2019,Casey Sadler,2 Tms,45.2,190,2.1679,40,5,1,13,11,5,13,2,4,30,0.235294117,0.303191489,0.364705882,0.284940115,11209
2019,Mike Freeman,CLE,2,8,9,2,1,0,2,2,1,0,0,0,0,0.25,0.25,0.75,0.394524902,11241
2019,Aaron Barrett,WSN,2.1,16,15.4288,5,0,0,4,4,1,4,0,0,1,0.416666666,0.5625,0.666666666,0.511197932,11243
2019,Aaron Altherr,PHI,1,5,9,2,1,0,1,1,0,0,0,0,2,0.4,0.4,0.6,0.417255092,11270
2019,Bryan Holaday,MIA,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11287
2019,Tyler Lyons,2 Tms,12.2,54,6.3947,13,4,0,9,9,4,5,2,1,17,0.270833333,0.351851851,0.604166666,0.380056947,11334
2019,Tommy Kahnle,NYY,61.1,248,3.6685,45,8,1,27,25,9,20,0,2,88,0.2,0.27016129,0.364444444,0.271943619,11384
2019,Jose Quintana,CHC,4,20,0,5,2,0,2,0,0,3,0,0,8,0.294117647,0.4,0.411764705,0.355652779,11423
2019,Drew Pomeranz,2 Tms,28.2,106,1.8837,16,2,0,6,6,3,8,0,0,50,0.164948453,0.226415094,0.278350515,0.220188949,11426
2019,Brandon Workman,BOS,71.2,286,1.8837,29,7,0,18,15,1,45,4,2,104,0.123404255,0.266666666,0.165957446,0.208037965,11428
2019,Jesse Biddle,3 Tms,28,152,8.3571,42,6,1,33,26,5,22,1,4,26,0.338709677,0.447368421,0.524193548,0.410517343,11437
2019,Matt Grace,WSN,44.2,200,6.6492,61,13,0,34,33,11,10,0,2,32,0.329729729,0.36683417,0.578378378,0.390294049,11449
2019,A.J. Cole,CLE,26,118,3.8077,31,9,0,16,11,4,8,0,0,30,0.289719626,0.333333333,0.485981308,0.340884536,11467
